Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3
2,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
89,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
91,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
64,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
195,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
131,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
33,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
230,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
263,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
13,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
5,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
18,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
49,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
57,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
7,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
2,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
6,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
9,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
14,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
19,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
31,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
188,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
239,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
70,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
692,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
696,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
113,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
1267,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
1381,,,time,year,2013,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
11,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
106,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
118,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
50,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
133,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
84,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
22,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
200,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
222,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
4,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
8,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
12,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
64,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
13,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
7,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
2,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
5,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
24,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
19,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
15,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
33,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
68,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
279,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
48,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
578,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
548,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
154,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
943,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
1097,,,time,year,2012,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
-3,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
71,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
68,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
,-,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
148,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
111,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
14,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
148,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
162,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
6,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
2,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
9,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
53,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
29,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
3,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
1,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
5,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
13,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
12,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
14,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
25,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
67,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
226,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
84,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
533,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
525,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
95,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
961,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
1056,,,time,year,2011,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
2,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
83,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
85,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
77,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
154,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
77,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
18,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
200,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
218,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
2,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
10,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
12,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
52,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
33,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
7,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
2,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
6,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
10,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
15,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
34,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
38,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
48,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
203,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
54,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
504,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
591,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
78,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
1010,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
1088,,,time,year,2010,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
-8,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
138,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
130,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
51,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
124,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
73,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
31,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
241,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
272,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
1,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
14,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
16,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
53,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
12,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
5,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of advertising and marketing services
3,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of computer and related services
8,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of telecommunication services
,-,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of water transport services
57,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of road transport services
16,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Commercial insurance premiums paid
16,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Payments for hiring, leasing or renting plant, machinery and vehicles"
23,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Value of industrial services purchased
1011,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchases of goods bought for resale
228,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of goods and materials
70,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Purchase of energy and water products for own consumption
1501,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total purchases
696,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Approximate gross value added at basic prices (aGVA
1245,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Sales of goods bought for resale without further processing
958,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Sales of goods produced, work done and services rendered"
2203,,,time,year,2009,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total Turnover
13,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - increase during year
118,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at beginning of year
132,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total stocks and work in progress - value at end of year
32,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total disposals - inc NYIP
168,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total acquisitions - inc NYIP
136,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total net capital expenditure - inc NYIP
25,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Social Security costs
228,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Gross wages and salaries - including redundancy and severance payments
253,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Total employment costs
3,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Other amounts paid for taxes, duties and levies"
10,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,National non-domestic (business rates
14,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,"Total taxes, duties and levies pad"
88,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Other services purchased
131,,,time,year,2008,CL_0000923,SIC07ABS,CI_0012923,,UK Business Value,Payments to sub-contractors
