Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5
18590.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007320
12235.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007322
16950.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007323
7970.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007324
5125.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0007325
2815.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0012767
1945.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0012768
720.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0012769
560.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0012770
135.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0012771
67045.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0005563,CL_0000782,Turnover size band,CI_0005220
490.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007320
350.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007322
480.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007323
230.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007324
165.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0007325
80.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0012767
55.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0012768
25.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0012769
20.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0012770
5.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0012771
1900.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011446,CL_0000782,Turnover size band,CI_0005220
540.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007320
480.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007322
705.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007323
315.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007324
175.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0007325
85.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0012767
65.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0012768
10.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0012769
10.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0012770
0.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0012771
2385.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011448,CL_0000782,Turnover size band,CI_0005220
1030.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0007320
555.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0007322
735.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0007323
330.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0007324
230.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0007325
120.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0012767
90.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0012768
35.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0012769
25.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0012770
0.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0012771
3150.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011450,CL_0000782,Turnover size band,CI_0005220
775.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0007320
500.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0007322
645.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0007323
340.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0007324
170.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0007325
95.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0012767
55.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0012768
30.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0012769
15.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0012770
5.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0012771
2630.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011452,CL_0000782,Turnover size band,CI_0005220
375.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0007320
275.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0007322
355.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0007323
170.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0007324
90.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0007325
45.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0012767
35.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0012768
15.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0012769
10.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0012770
0.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0012771
1370.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011454,CL_0000782,Turnover size band,CI_0005220
730.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0007320
375.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0007322
525.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0007323
255.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0007324
150.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0007325
80.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0012767
35.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0012768
15.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0012769
10.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0012770
0.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0012771
2175.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011456,CL_0000782,Turnover size band,CI_0005220
1050.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0007320
1470.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0007322
2495.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0007323
1270.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0007324
870.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0007325
540.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0012767
440.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0012768
145.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0012769
145.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0012770
50.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0012771
8475.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011458,CL_0000782,Turnover size band,CI_0005220
150.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0007320
165.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0007322
255.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0007323
85.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0007324
50.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0007325
40.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0012767
15.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0012768
5.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0012769
5.0,,,time,Year,2015,2011STATH,Geography,N92000002,CL_0000779,Entity type,CI_0007554,CL_0000778,Geographic area,CI_0011460,CL_0000782,Turnover size band,CI_0012770
